Date,Index Value
2006-11-01,10474.239999999998
2006-12-01,10474.239999999996
2007-01-01,10474.239999999996
2007-02-01,10474.239999999996
2007-03-01,10474.239999999996
2007-04-01,10474.239999999996
2007-05-01,10474.239999999996
2007-06-01,10474.239999999996
2007-07-01,10437.760000000004
2007-08-01,10437.760000000004
2007-09-01,10437.760000000004
2007-10-01,10437.760000000004
2007-11-01,10437.760000000004
2007-12-01,10437.760000000004
2008-01-01,10307.901935483871
2008-02-01,10236.48
2008-03-01,10236.480000000001
2008-04-01,10236.48
2008-05-01,10236.480000000001
2008-06-01,10180.68129032258
2008-07-01,10145.44
2008-08-01,10145.44
2008-09-01,10145.44
2008-10-01,10145.44
2008-11-01,10145.44
2008-12-01,10145.44
2009-01-01,10022.255483870971
2009-02-01,10013.760000000004
2009-03-01,10013.760000000004
2009-04-01,10013.760000000004
2009-05-01,10013.760000000004
2009-06-01,10013.760000000004
2009-07-01,10013.760000000004
2009-08-01,10013.760000000004
2009-09-01,10013.760000000004
2009-10-01,10013.760000000004
2009-11-01,10013.760000000004
2009-12-01,10013.760000000004
2010-01-01,10013.760000000004
2010-02-01,10013.760000000004
2010-03-01,10013.760000000004
2010-04-01,10013.760000000004
2010-05-01,10003.664
2010-06-01,9912.799999999994
2010-07-01,9912.799999999994
2010-08-01,9912.799999999994
2010-09-01,9912.799999999994
2010-10-01,9912.799999999994
2010-11-01,9912.799999999994
2010-12-01,9912.799999999994
2011-01-01,10067.793548387099
2011-02-01,10072.960000000001
2011-03-01,10072.959999999997
2011-04-01,10072.960000000001
2011-05-01,10072.96
2011-06-01,10072.960000000001
2011-07-01,10104.879999999996
2011-08-01,10136.799999999994
2011-09-01,10136.799999999994
2011-10-01,10136.799999999994
2011-11-01,10136.799999999994
2011-12-01,10238.005333333333
2012-01-01,10326.56
2012-02-01,10326.56
2012-03-01,10326.56
2012-04-01,10326.56
2012-05-01,10326.56
2012-06-01,10121.770322580644
2012-07-01,9953.119999999997
2012-08-01,9953.119999999997
2012-09-01,9953.119999999997
2012-10-01,9953.119999999997
2012-11-01,9953.119999999997
2012-12-01,10108.464000000002
2013-01-01,10198.400000000001
2013-02-01,10198.400000000001
2013-03-01,10198.399999999998
2013-04-01,10198.400000000001
2013-05-01,10198.4
2013-06-01,10188.691612903223
2013-07-01,10182.56
2013-08-01,10182.56
2013-09-01,10182.56
2013-10-01,10103.648000000005
2013-11-01,9985.280000000004
2013-12-01,9985.280000000002
2014-01-01,9985.280000000004
2014-02-01,9985.280000000004
2014-03-01,9985.28
2014-04-01,9994.694193548386
2014-05-01,10009.6
2014-06-01,10009.599999999999
2014-07-01,10009.6
2014-08-01,10009.599999999999
2014-09-01,10009.599999999999
2014-10-01,10009.6
2014-11-01,10009.599999999999
2014-12-01,10114.533333333333
2015-01-01,10135.52
2015-02-01,10135.52
2015-03-01,10135.519999999999
2015-04-01,10282.596129032254
2015-05-01,10486.239999999996
2015-06-01,10486.239999999996
2015-07-01,10486.239999999996
2015-08-01,10486.239999999996
2015-09-01,10486.239999999996
2015-10-01,10486.239999999996
2015-11-01,10486.239999999996
2015-12-01,10394.720000000001
2016-01-01,10361.44
2016-02-01,10361.44
2016-03-01,10361.44
2016-04-01,10236.320000000005
2016-05-01,10133.280000000004
2016-06-01,10133.280000000006
2016-07-01,10133.280000000004
2016-08-01,10133.280000000006
2016-09-01,10133.280000000006
2016-10-01,10133.280000000004
2016-11-01,10133.280000000006
2016-12-01,10133.280000000004
