Date,Open,High,Low,Close,Adj Close,Volume
2022-11-01,76.809998,0.000000,0.000000,69.309998,69.309998,399
2022-12-01,74.769997,0.000000,0.000000,65.940002,65.940002,434
2023-01-01,65.940002,0.000000,0.000000,71.349998,71.349998,434
2023-02-01,72.000000,0.000000,0.000000,67.190002,67.190002,392
2023-03-01,69.279999,0.000000,0.000000,80.519997,80.519997,434
2023-04-01,80.519997,0.000000,0.000000,65.760002,65.760002,420
2023-05-01,66.129997,0.000000,0.000000,62.430000,62.430000,434
2023-06-01,60.689999,0.000000,0.000000,69.070000,69.070000,420
2023-07-01,69.070000,0.000000,0.000000,59.709999,59.709999,434
2023-08-01,58.000000,0.000000,0.000000,62.070000,62.070000,434
2023-09-01,62.070000,0.000000,0.000000,62.310001,62.310001,420
2023-10-01,62.630001,0.000000,0.000000,59.750000,59.750000,434
2023-11-01,59.790001,0.000000,0.000000,53.639999,53.639999,420
2023-12-01,54.470001,0.000000,0.000000,53.450001,53.450001,434
2024-01-01,53.450001,0.000000,0.000000,52.480000,52.480000,406
