Date,Real,Nominal
1946-01-01,20.16,1.170
1946-02-01,20.27,1.170
1946-03-01,20.05,1.170
1946-04-01,21.64,1.270
1946-05-01,21.53,1.270
1946-06-01,21.29,1.270
1946-07-01,20.11,1.270
1946-08-01,23.59,1.520
1946-09-01,23.36,1.520
1946-10-01,22.91,1.520
1946-11-01,22.38,1.520
1946-12-01,23.63,1.620
1947-01-01,23.63,1.620
1947-02-01,23.63,1.620
1947-03-01,23.19,1.620
1947-04-01,26.77,1.870
1947-05-01,26.77,1.870
1947-06-01,26.65,1.870
1947-07-01,26.41,1.870
1947-08-01,26.06,1.870
1947-09-01,25.49,1.870
1947-10-01,25.49,1.870
1947-11-01,28.10,2.070
1947-12-01,27.74,2.070
1948-01-01,34.00,2.570
1948-02-01,34.29,2.570
1948-03-01,34.44,2.570
1948-04-01,33.86,2.570
1948-05-01,33.72,2.570
1948-06-01,33.44,2.570
1948-07-01,33.02,2.570
1948-08-01,32.89,2.570
1948-09-01,32.89,2.570
1948-10-01,33.02,2.570
1948-11-01,33.30,2.570
1948-12-01,33.44,2.570
1949-01-01,33.58,2.570
1949-02-01,33.86,2.570
1949-03-01,33.86,2.570
1949-04-01,33.72,2.570
1949-05-01,33.86,2.570
1949-06-01,33.72,2.570
1949-07-01,34.00,2.570
1949-08-01,33.86,2.570
1949-09-01,33.72,2.570
1949-10-01,34.00,2.570
1949-11-01,33.86,2.570
1949-12-01,34.15,2.570
1950-01-01,34.29,2.570
1950-02-01,34.29,2.570
1950-03-01,34.15,2.570
1950-04-01,34.15,2.570
1950-05-01,34.00,2.570
1950-06-01,33.86,2.570
1950-07-01,33.44,2.570
1950-08-01,33.16,2.570
1950-09-01,33.02,2.570
1950-10-01,32.76,2.570
1950-11-01,32.62,2.570
1950-12-01,32.23,2.570
1951-01-01,31.72,2.570
1951-02-01,31.35,2.570
1951-03-01,31.23,2.570
1951-04-01,31.23,2.570
1951-05-01,31.11,2.570
1951-06-01,31.11,2.570
1951-07-01,31.11,2.570
1951-08-01,31.11,2.570
1951-09-01,30.87,2.570
1951-10-01,30.76,2.570
1951-11-01,30.52,2.570
1951-12-01,30.41,2.570
1952-01-01,30.41,2.570
1952-02-01,30.64,2.570
1952-03-01,30.64,2.570
1952-04-01,30.52,2.570
1952-05-01,30.52,2.570
1952-06-01,30.41,2.570
1952-07-01,30.18,2.570
1952-08-01,30.18,2.570
1952-09-01,30.18,2.570
1952-10-01,30.18,2.570
1952-11-01,30.18,2.570
1952-12-01,30.18,2.570
1953-01-01,30.30,2.570
1953-02-01,30.41,2.570
1953-03-01,30.30,2.570
1953-04-01,30.30,2.570
1953-05-01,30.18,2.570
1953-06-01,32.99,2.820
1953-07-01,32.99,2.820
1953-08-01,32.87,2.820
1953-09-01,32.87,2.820
1953-10-01,32.75,2.820
1953-11-01,32.87,2.820
1953-12-01,32.87,2.820
1954-01-01,32.87,2.820
1954-02-01,32.87,2.820
1954-03-01,32.87,2.820
1954-04-01,32.99,2.820
1954-05-01,32.87,2.820
1954-06-01,32.87,2.820
1954-07-01,32.87,2.820
1954-08-01,32.87,2.820
1954-09-01,32.99,2.820
1954-10-01,32.99,2.820
1954-11-01,32.99,2.820
1954-12-01,33.12,2.820
1955-01-01,33.12,2.820
1955-02-01,33.12,2.820
1955-03-01,33.12,2.820
1955-04-01,33.12,2.820
1955-05-01,33.12,2.820
1955-06-01,33.12,2.820
1955-07-01,32.99,2.820
1955-08-01,32.99,2.820
1955-09-01,32.87,2.820
1955-10-01,32.87,2.820
1955-11-01,32.87,2.820
1955-12-01,32.99,2.820
1956-01-01,32.99,2.820
1956-02-01,32.99,2.820
1956-03-01,32.99,2.820
1956-04-01,32.87,2.820
1956-05-01,32.75,2.820
1956-06-01,32.51,2.820
1956-07-01,32.27,2.820
1956-08-01,32.39,2.820
1956-09-01,32.27,2.820
1956-10-01,32.15,2.820
1956-11-01,32.15,2.820
1956-12-01,32.04,2.820
1957-01-01,32.04,2.820
1957-02-01,34.75,3.070
1957-03-01,34.63,3.070
1957-04-01,34.50,3.070
1957-05-01,34.38,3.070
1957-06-01,34.26,3.070
1957-07-01,34.01,3.070
1957-08-01,34.01,3.070
1957-09-01,34.01,3.070
1957-10-01,34.01,3.070
1957-11-01,33.89,3.070
1957-12-01,33.12,3.000
1958-01-01,33.66,3.070
1958-02-01,33.66,3.070
1958-03-01,33.42,3.070
1958-04-01,33.31,3.070
1958-05-01,33.31,3.070
1958-06-01,33.31,3.070
1958-07-01,33.19,3.070
1958-08-01,33.31,3.070
1958-09-01,33.31,3.070
1958-10-01,33.31,3.070
1958-11-01,32.44,3.000
1958-12-01,32.55,3.000
1959-01-01,32.44,3.000
1959-02-01,32.55,3.000
1959-03-01,32.22,2.970
1959-04-01,32.11,2.970
1959-05-01,32.11,2.970
1959-06-01,32.00,2.970
1959-07-01,31.89,2.970
1959-08-01,31.89,2.970
1959-09-01,31.78,2.970
1959-10-01,31.68,2.970
1959-11-01,31.68,2.970
1959-12-01,31.68,2.970
1960-01-01,31.78,2.970
1960-02-01,31.68,2.970
1960-03-01,31.68,2.970
1960-04-01,31.57,2.970
1960-05-01,31.57,2.970
1960-06-01,31.46,2.970
1960-07-01,31.46,2.970
1960-08-01,31.46,2.970
1960-09-01,31.46,2.970
1960-10-01,31.25,2.970
1960-11-01,31.25,2.970
1960-12-01,31.25,2.970
1961-01-01,31.25,2.970
1961-02-01,31.25,2.970
1961-03-01,31.25,2.970
1961-04-01,31.25,2.970
1961-05-01,31.25,2.970
1961-06-01,31.25,2.970
1961-07-01,31.04,2.970
1961-08-01,31.15,2.970
1961-09-01,31.04,2.970
1961-10-01,31.04,2.970
1961-11-01,31.04,2.970
1961-12-01,31.04,2.970
1962-01-01,31.04,2.970
1962-02-01,30.94,2.970
1962-03-01,30.94,2.970
1962-04-01,30.83,2.970
1962-05-01,30.83,2.970
1962-06-01,30.83,2.970
1962-07-01,30.73,2.970
1962-08-01,30.73,2.970
1962-09-01,30.63,2.970
1962-10-01,30.63,2.970
1962-11-01,30.63,2.970
1962-12-01,30.63,2.970
1963-01-01,30.63,2.970
1963-02-01,30.63,2.970
1963-03-01,30.53,2.970
1963-04-01,30.53,2.970
1963-05-01,30.53,2.970
1963-06-01,30.43,2.970
1963-07-01,30.33,2.970
1963-08-01,30.33,2.970
1963-09-01,30.33,2.970
1963-10-01,30.23,2.970
1963-11-01,30.23,2.970
1963-12-01,30.14,2.970
1964-01-01,30.14,2.970
1964-02-01,30.14,2.970
1964-03-01,30.14,2.970
1964-04-01,30.14,2.970
1964-05-01,30.14,2.970
1964-06-01,30.04,2.970
1964-07-01,29.44,2.920
1964-08-01,29.53,2.920
1964-09-01,29.44,2.920
1964-10-01,29.44,2.920
1964-11-01,29.35,2.920
1964-12-01,29.35,2.920
1965-01-01,29.35,2.920
1965-02-01,29.35,2.920
1965-03-01,29.25,2.920
1965-04-01,29.16,2.920
1965-05-01,29.16,2.920
1965-06-01,28.97,2.920
1965-07-01,28.97,2.920
1965-08-01,28.97,2.920
1965-09-01,28.97,2.920
1965-10-01,28.88,2.920
1965-11-01,28.88,2.920
1965-12-01,28.79,2.920
1966-01-01,28.79,2.920
1966-02-01,28.61,2.920
1966-03-01,28.52,2.920
1966-04-01,28.34,2.920
1966-05-01,28.34,2.920
1966-06-01,28.26,2.920
1966-07-01,28.17,2.920
1966-08-01,28.00,2.920
1966-09-01,28.48,2.970
1966-10-01,28.30,2.970
1966-11-01,28.30,2.970
1966-12-01,28.30,2.970
1967-01-01,28.30,2.970
1967-02-01,28.59,3.000
1967-03-01,28.50,3.000
1967-04-01,28.42,3.000
1967-05-01,28.33,3.000
1967-06-01,28.25,3.000
1967-07-01,28.16,3.000
1967-08-01,28.74,3.070
1967-09-01,28.65,3.070
1967-10-01,28.56,3.070
1967-11-01,28.48,3.070
1967-12-01,28.39,3.070
1968-01-01,28.23,3.070
1968-02-01,28.15,3.070
1968-03-01,28.06,3.070
1968-04-01,27.98,3.070
1968-05-01,27.90,3.070
1968-06-01,27.74,3.070
1968-07-01,27.58,3.070
1968-08-01,27.50,3.070
1968-09-01,27.42,3.070
1968-10-01,27.27,3.070
1968-11-01,27.19,3.070
1968-12-01,27.11,3.070
1969-01-01,27.04,3.070
1969-02-01,26.89,3.070
1969-03-01,28.23,3.250
1969-04-01,28.94,3.350
1969-05-01,28.86,3.350
1969-06-01,28.70,3.350
1969-07-01,28.54,3.350
1969-08-01,28.39,3.350
1969-09-01,28.31,3.350
1969-10-01,28.16,3.350
1969-11-01,28.01,3.350
1969-12-01,27.86,3.350
1970-01-01,27.79,3.350
1970-02-01,27.64,3.350
1970-03-01,27.50,3.350
1970-04-01,27.28,3.350
1970-05-01,27.21,3.350
1970-06-01,27.07,3.350
1970-07-01,26.61,3.310
1970-08-01,26.61,3.310
1970-09-01,26.48,3.310
1970-10-01,26.34,3.310
1970-11-01,26.21,3.310
1970-12-01,28.05,3.560
1971-01-01,28.05,3.560
1971-02-01,27.97,3.560
1971-03-01,27.91,3.560
1971-04-01,27.84,3.560
1971-05-01,27.70,3.560
1971-06-01,27.49,3.560
1971-07-01,27.43,3.560
1971-08-01,27.36,3.560
1971-09-01,27.36,3.560
1971-10-01,27.29,3.560
1971-11-01,27.29,3.560
1971-12-01,27.16,3.560
1972-01-01,27.16,3.560
1972-02-01,27.03,3.560
1972-03-01,26.96,3.560
1972-04-01,26.90,3.560
1972-05-01,26.83,3.560
1972-06-01,26.77,3.560
1972-07-01,26.64,3.560
1972-08-01,26.58,3.560
1972-09-01,26.51,3.560
1972-10-01,26.39,3.560
1972-11-01,26.33,3.560
1972-12-01,26.27,3.560
1973-01-01,26.20,3.560
1973-02-01,26.02,3.560
1973-03-01,25.78,3.560
1973-04-01,25.60,3.560
1973-05-01,25.43,3.560
1973-06-01,25.25,3.560
1973-07-01,25.20,3.560
1973-08-01,29.96,4.310
1973-09-01,29.90,4.310
1973-10-01,29.64,4.310
1973-11-01,29.44,4.310
1973-12-01,29.25,4.310
1974-01-01,68.02,10.110
1974-02-01,67.16,10.110
1974-03-01,66.32,10.110
1974-04-01,66.04,10.110
1974-05-01,65.23,10.110
1974-06-01,64.69,10.110
1974-07-01,64.17,10.110
1974-08-01,63.40,10.110
1974-09-01,62.65,10.110
1974-10-01,68.48,11.160
1974-11-01,67.94,11.160
1974-12-01,67.42,11.160
1975-01-01,67.16,11.160
1975-02-01,66.65,11.160
1975-03-01,66.40,11.160
1975-04-01,66.15,11.160
1975-05-01,65.78,11.160
