Date,Close
1971-01-04,120.529999
1971-01-11,120.440002
1971-01-18,120.309998
1971-01-25,120.239998
1971-02-01,120.260002
1971-02-08,120.290001
1971-02-15,120.18
1971-02-22,120.260002
1971-03-01,120.169998
1971-03-08,120.18
1971-03-15,120.18
1971-03-22,120.169998
1971-03-29,120.18
1971-04-05,120.220001
1971-04-12,120.230003
1971-04-19,120.269997
1971-04-26,120.190002
1971-05-03,119.440002
1971-05-10,119.339996
1971-05-17,118.910004
1971-05-24,119.43
1971-05-31,119.269997
1971-06-07,119.239998
1971-06-14,119.290001
1971-06-21,119.209999
1971-06-28,119.160004
1971-07-05,119.169998
1971-07-12,118.919998
1971-07-19,118.760002
1971-07-26,118.760002
1971-08-02,118.580002
1971-08-09,117.839996
1971-08-16,117.839996
1971-08-23,117.839996
1971-08-30,116.379997
1971-09-06,116.32
1971-09-13,115.910004
1971-09-20,114.959999
1971-09-27,114.809998
1971-10-04,114.699997
1971-10-11,114.82
1971-10-18,114.599998
1971-10-25,114.650002
1971-11-01,114.57
1971-11-08,114.589996
1971-11-15,114.370003
1971-11-22,113.93
1971-11-29,113.25
1971-12-06,112.940002
1971-12-13,112.379997
1971-12-20,111.290001
1971-12-27,111.209999
1972-01-03,111.040001
1972-01-10,110.029999
1972-01-17,110.040001
1972-01-24,109.650002
1972-01-31,109.349998
1972-02-07,108.900002
1972-02-14,108.599998
1972-02-21,108.769997
1972-02-28,108.580002
1972-03-06,107.900002
1972-03-13,109.190002
1972-03-20,108.650002
1972-03-27,108.400002
1972-04-03,108.459999
1972-04-10,108.540001
1972-04-17,108.650002
1972-04-24,108.620003
1972-05-01,108.519997
1972-05-08,108.370003
1972-05-15,108.379997
1972-05-22,108.290001
1972-05-29,108.110001
1972-06-05,108.050003
1972-06-12,108.199997
1972-06-19,108.220001
1972-06-26,108.510002
1972-07-03,108.580002
1972-07-10,108.480003
1972-07-17,108.720001
1972-07-24,108.760002
1972-07-31,108.760002
1972-08-07,108.809998
1972-08-14,108.959999
1972-08-21,108.989998
1972-08-28,108.980003
1972-09-04,108.949997
1972-09-11,109
1972-09-18,109.089996
1972-09-25,109.389999
1972-10-02,109.25
1972-10-09,109.480003
1972-10-16,109.540001
1972-10-23,109.900002
1972-10-30,109.779999
1972-11-06,109.889999
1972-11-13,109.910004
1972-11-20,109.900002
1972-11-27,109.870003
1972-12-04,110.040001
1972-12-11,110.07
1972-12-18,110.059998
1972-12-25,110.139999
1973-01-01,110.260002
1973-01-08,110.160004
1973-01-15,110.309998
1973-01-22,109.669998
1973-01-29,109.050003
1973-02-05,108.410004
1973-02-12,102.330002
1973-02-19,100.800003
1973-02-26,98.720001
1973-03-05,99.220001
1973-03-12,100.370003
1973-03-19,100.690002
1973-03-26,101.169998
1973-04-02,101.160004
1973-04-09,101.160004
1973-04-16,101.290001
1973-04-23,101.470001
1973-04-30,101.449997
1973-05-07,101.110001
1973-05-14,99.540001
1973-05-21,99.360001
1973-05-28,97.559998
1973-06-04,97.32
1973-06-11,96.949997
1973-06-18,96.07
1973-06-25,93.879997
1973-07-02,90.540001
1973-07-09,93.629997
1973-07-16,92.459999
1973-07-23,92.489998
1973-07-30,93.239998
1973-08-06,94.709999
1973-08-13,96.220001
1973-08-20,95.82
1973-08-27,95.769997
1973-09-03,95.279999
1973-09-10,95.709999
1973-09-17,94.769997
1973-09-24,94.790001
1973-10-01,94.839996
1973-10-08,94.349998
1973-10-15,94.25
1973-10-22,94.639999
1973-10-29,95.489998
1973-11-05,97.970001
1973-11-12,98.93
1973-11-19,100.900002
1973-11-26,100.349998
1973-12-03,101.019997
1973-12-10,101.269997
1973-12-17,101.720001
