date,Rolex 116520 (EUR)
Feb 06 2019,13828
Feb 07 2019,13860
Feb 08 2019,13853
Feb 09 2019,13860
Feb 10 2019,13952
Feb 11 2019,13927
Feb 12 2019,13868
Feb 13 2019,13769
Feb 14 2019,13810
Feb 15 2019,13790
Feb 16 2019,13794
Feb 17 2019,13870
Feb 18 2019,13991
Feb 19 2019,13987
Feb 20 2019,14003
Feb 21 2019,14004
Feb 22 2019,13969
Feb 23 2019,13962
Feb 24 2019,13962
Feb 25 2019,13997
Feb 26 2019,14008
Feb 27 2019,13991
Feb 28 2019,13985
Mar 01 2019,13981
Mar 02 2019,13981
Mar 03 2019,13984
Mar 04 2019,13983
Mar 05 2019,13987
Mar 06 2019,13993
Mar 07 2019,14000
Mar 08 2019,14009
Mar 09 2019,14026
Mar 10 2019,14035
Mar 11 2019,14043
Mar 12 2019,14049
Mar 13 2019,13975
Mar 14 2019,13997
Mar 15 2019,13997
Mar 16 2019,13996
Mar 17 2019,13995
Mar 18 2019,13993
Mar 19 2019,13871
Mar 20 2019,13869
Mar 21 2019,13867
Mar 22 2019,13863
Mar 23 2019,13823
Mar 24 2019,13824
Mar 25 2019,13701
Mar 26 2019,13701
Mar 27 2019,13702
Mar 28 2019,13676
Mar 29 2019,13747
Mar 30 2019,13754
Mar 31 2019,13660
Apr 01 2019,13569
Apr 02 2019,13609
Apr 03 2019,13559
Apr 04 2019,13631
Apr 05 2019,13635
Apr 06 2019,13580
Apr 07 2019,13582
Apr 08 2019,13669
Apr 09 2019,13669
Apr 10 2019,13681
Apr 11 2019,13680
Apr 12 2019,13680
Apr 13 2019,13680
Apr 14 2019,13680
Apr 15 2019,13681
Apr 16 2019,13700
Apr 17 2019,13575
Apr 18 2019,13577
Apr 19 2019,13580
Apr 20 2019,13586
Apr 21 2019,13615
Apr 22 2019,13603
Apr 23 2019,13605
Apr 24 2019,13608
Apr 25 2019,13613
Apr 26 2019,13592
Apr 27 2019,13597
Apr 28 2019,13600
Apr 29 2019,13639
Apr 30 2019,13790
May 01 2019,13692
May 02 2019,13692
May 03 2019,13648
May 04 2019,13651
May 05 2019,13881
May 06 2019,13849
May 07 2019,13850
May 08 2019,13851
May 09 2019,13796
May 10 2019,13798
May 11 2019,13839
May 12 2019,13840
May 13 2019,13829
May 14 2019,13832
May 15 2019,13835
May 16 2019,13972
May 17 2019,13976
May 18 2019,13981
May 19 2019,13893
May 20 2019,13978
May 21 2019,13988
May 22 2019,13992
May 23 2019,13996
May 24 2019,14013
May 25 2019,13971
May 26 2019,13969
May 27 2019,13968
May 28 2019,14032
May 29 2019,14031
May 30 2019,14032
May 31 2019,14035
Jun 01 2019,14053
Jun 02 2019,14094
Jun 03 2019,14131
Jun 04 2019,14100
Jun 05 2019,14051
Jun 06 2019,14047
Jun 07 2019,14044
Jun 08 2019,14040
Jun 09 2019,14034
Jun 10 2019,14030
Jun 11 2019,14027
Jun 12 2019,14023
Jun 13 2019,14138
Jun 14 2019,14231
Jun 15 2019,14230
Jun 16 2019,14228
Jun 17 2019,14219
Jun 18 2019,14216
Jun 19 2019,14214
Jun 20 2019,14212
Jun 21 2019,14246
Jun 22 2019,14239
Jun 23 2019,14302
Jun 24 2019,14294
Jun 25 2019,14286
Jun 26 2019,14279
Jun 27 2019,14272
Jun 28 2019,14264
Jun 29 2019,14254
Jun 30 2019,14202
Jul 01 2019,14192
Jul 02 2019,14224
Jul 03 2019,14219
Jul 04 2019,14216
Jul 05 2019,14214
Jul 06 2019,14215
Jul 07 2019,14271
Jul 08 2019,14274
Jul 09 2019,14182
Jul 10 2019,14187
Jul 11 2019,14190
Jul 12 2019,14182
Jul 13 2019,14184
Jul 14 2019,14184
Jul 15 2019,14183
Jul 16 2019,14235
Jul 17 2019,14235
Jul 18 2019,14235
Jul 19 2019,14234
Jul 20 2019,14233
Jul 21 2019,14363
Jul 22 2019,14255
Jul 23 2019,14262
Jul 24 2019,14272
Jul 25 2019,14395
Jul 26 2019,14442
Jul 27 2019,14452
Jul 28 2019,14529
Jul 29 2019,14539
Jul 30 2019,14549
Jul 31 2019,14559
Aug 01 2019,14568
Aug 02 2019,14588
Aug 03 2019,14596
Aug 04 2019,14603
Aug 05 2019,14608
Aug 06 2019,14463
Aug 07 2019,14313
Aug 08 2019,14542
Aug 09 2019,14603
Aug 10 2019,14605
Aug 11 2019,14604
Aug 12 2019,14658
Aug 13 2019,14704
Aug 14 2019,14763
Aug 15 2019,14787
Aug 16 2019,14791
Aug 17 2019,14819
Aug 18 2019,14826
Aug 19 2019,14832
Aug 20 2019,14823
Aug 21 2019,15083
Aug 22 2019,15088
Aug 23 2019,15092
Aug 24 2019,14977
