date,Rolex Market Index (USD)
Tue Oct 24 2017,15310
Wed Oct 25 2017,15318
Thu Oct 26 2017,15344
Fri Oct 27 2017,15343
Sat Oct 28 2017,15351
Sun Oct 29 2017,15348
Mon Oct 30 2017,15355
Tue Oct 31 2017,15362
Wed Nov 01 2017,15359
Thu Nov 02 2017,15355
Fri Nov 03 2017,15364
Sat Nov 04 2017,15366
Sun Nov 05 2017,15368
Mon Nov 06 2017,15384
Tue Nov 07 2017,15389
Wed Nov 08 2017,15390
Thu Nov 09 2017,15406
Fri Nov 10 2017,15411
Sat Nov 11 2017,15368
Sun Nov 12 2017,15375
Mon Nov 13 2017,15431
Tue Nov 14 2017,15502
Wed Nov 15 2017,15500
Thu Nov 16 2017,15524
Fri Nov 17 2017,15516
Sat Nov 18 2017,15526
Sun Nov 19 2017,15527
Mon Nov 20 2017,15580
Tue Nov 21 2017,15581
Wed Nov 22 2017,15590
Thu Nov 23 2017,15590
Fri Nov 24 2017,15596
Sat Nov 25 2017,15600
Sun Nov 26 2017,15592
Mon Nov 27 2017,15613
Tue Nov 28 2017,15655
Wed Nov 29 2017,15672
Thu Nov 30 2017,15686
Fri Dec 01 2017,15693
Sat Dec 02 2017,15706
Sun Dec 03 2017,15699
Mon Dec 04 2017,15708
Tue Dec 05 2017,15734
Wed Dec 06 2017,15750
Thu Dec 07 2017,15811
Fri Dec 08 2017,15816
Sat Dec 09 2017,15815
Sun Dec 10 2017,15824
Mon Dec 11 2017,15848
Tue Dec 12 2017,15846
Wed Dec 13 2017,15857
Thu Dec 14 2017,15830
Fri Dec 15 2017,15853
Sat Dec 16 2017,15856
Sun Dec 17 2017,15845
Mon Dec 18 2017,15845
Tue Dec 19 2017,15842
Wed Dec 20 2017,15831
Thu Dec 21 2017,15834
Fri Dec 22 2017,15833
Sat Dec 23 2017,15823
Sun Dec 24 2017,15823
Mon Dec 25 2017,15824
Tue Dec 26 2017,15827
Wed Dec 27 2017,15826
Thu Dec 28 2017,15828
Fri Dec 29 2017,15826
Sat Dec 30 2017,15828
Sun Dec 31 2017,15834
Mon Jan 01 2018,15834
Tue Jan 02 2018,15836
