Country,Currency,Indicator_Name,GDP_Year_1970,GDP_Year_1971,GDP_Year_1972,GDP_Year_1973,GDP_Year_1974,GDP_Year_1975,GDP_Year_1976,GDP_Year_1977,GDP_Year_1978,GDP_Year_1979,GDP_Year_1980,GDP_Year_1981,GDP_Year_1982,GDP_Year_1983,GDP_Year_1984,GDP_Year_1985,GDP_Year_1986,GDP_Year_1987,GDP_Year_1988,GDP_Year_1989,GDP_Year_1990,GDP_Year_1991,GDP_Year_1992,GDP_Year_1993,GDP_Year_1994,GDP_Year_1995,GDP_Year_1996,GDP_Year_1997,GDP_Year_1998,GDP_Year_1999,GDP_Year_2000,GDP_Year_2001,GDP_Year_2002,GDP_Year_2003,GDP_Year_2004,GDP_Year_2005,GDP_Year_2006,GDP_Year_2007,GDP_Year_2008,GDP_Year_2009,GDP_Year_2010,GDP_Year_2011,GDP_Year_2012,GDP_Year_2013,GDP_Year_2014,GDP_Year_2015,GDP_Year_2016,GDP_Year_2017,GDP_Year_2018,GDP_Year_2019,GDP_Year_2020
Guyana,Guyana Dollar,"Agriculture, hunting, forestry, fishing (ISIC A-B)",89255113,101376299,104833855,109340502,277266905,360827020,246524205,224333682,278196048,280769084,337067454,307068146,300092074,303048417,451334191,572343343,620638768,1345055157,993131080,5293169386,7504087453,20673176962,27332090537,28573768078,37669534902,48146298374,49634425391,51935404554,48811576260,59098780418,52600285604,62411991143,79028340870,100881000000,125204000000,136936000000,161981000000,167908000000,195451000000,189973000000,199432000000,193426000000,211234000000,219554000000,209579000000,224863000000,188720000000,223142000000,194277000000,189806000000,192229000000
Guyana,Guyana Dollar,"Mining, Manufacturing, Utilities (ISIC C-E)",304774717,313603783,323496309,318577091,556582609,732682455,644186306,645227201,727596925,729725952,870230698,777347568,692303026,531675221,553720922,636165006,844444102,1182356137,2033571004,3877124921,5183932901,15394563249,15660982282,26786676035,34339145088,35022378402,41207670079,42868416186,40351532250,46637893545,47662379114,49766432223,52594685326,50678004827,52968714176,55156608827,63563476540,80236664911,96099507525,97207401941,107480000000,128867000000,157398000000,150744000000,139114000000,151818000000,201761000000,182007000000,182201000000,224855000000,366694000000
Guyana,Guyana Dollar,Manufacturing (ISIC D),146990836,159141331,167804132,172364415,329416212,444977987,367238621,340851058,388495296,405424859,456106522,536164384,479417442,428810811,382268080,471647383,558970528,752499791,1272021779,1789609412,2334153631,4962295925,6124552967,6785190569,7950529169,9889908871,10625515112,11908453833,11471892563,13550282656,12497620468,14107930163,16819365762,17963900247,20547315603,26424305401,32346737357,37153756918,42572734656,42360675627,40154756112,45324755740,49950300000,54323700000,51523000000,52488700000,45976000000,46958700000,46425500000,54467000000,48414500000
Guyana,Guyana Dollar,Construction (ISIC F),71591353,75720978,84459382,95045562,108774334,154549451,174563192,160892724,159860716,178063037,201777166,221356553,191947060,200646363,221832120,266853898,278130023,359055429,513159080,1055725294,1531380974,3011598968,3688766550,4333813206,5877638059,8130785870,9774883899,11705774659,12875061197,12802247668,14153235583,15965579053,17295036696,20933229655,24894240084,31859843306,41588606583,50502085237,56300277017,61424628090,66605559120,70357572534,63366500000,68643300000,68744000000,66642600000,70230000000,74952900000,78943600000,84625300000,75876200000
Guyana,Guyana Dollar,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",155869454,160110528,173881190,195035798,249759294,293048775,332471117,313331850,331977239,367058421,365797498,436980623,372183786,367943335,415268434,442933394,450117049,588585115,905960759,1821485340,3384598285,6699702656,7926653112,9011932618,10744069759,12597188340,13806669795,15200209085,16459833673,17151246836,18891494297,19707257601,20385454583,20652068611,22521204553,28554798965,34228137724,41759996053,45190193040,55151180440,62670015670,76793766630,84780120000,81233540000,80127000000,68523940000,69720000000,75848580000,79270220000,85583940000,58677320000
Guyana,Guyana Dollar,"Transport, storage and communication (ISIC I)",39330481,42665998,47351158,54314845,69748288,75653986,82439088,88567584,101118493,110083971,116264309,132184018,125346879,146442803,161905339,207749035,227550465,350591766,455223673,969372243,1903672410,3967728359,4430262059,5000767505,6283365555,7167894974,8541298971,9959754873,11866183685,13979450207,16266309688,18134447172,19377503769,21091488762,22618713846,25761927572,29927782709,33788338538,33165873716,35808118677,41267507321,43486710953,48416600000,48978700000,51390000000,51685800000,54469000000,56712400000,61412700000,58266300000,55811700000
Guyana,Guyana Dollar,Other Activities (ISIC J-P),163876327,181052640,197184349,239081110,264085247,309520983,341871042,356187610,393859981,403061849,453109230,493874903,511471444,555854359,670031330,734076250,774383522,1176936003,1415785897,2905047531,4733168832,9248926605,11834340142,13205625206,15885225710,18653343437,21371142144,25802031080,28383052395,34737994053,40083897283,43465850820,47959598128,56841381329,68650624594,89787017954,127677000000,148728000000,165114000000,173619000000,186625000000,202049000000,223857000000,237534000000,250105000000,269585000000,285904000000,302027000000,316319000000,338485000000,329493000000
Guyana,Guyana Dollar,Total Value Added,824697445,874530226,931206243,1011394908,1526216677,1926282670,1822054950,1788540651,1992609402,2068762314,2344246355,2368811811,2193344269,2105610498,2474092336,2860120926,3195263929,5002579607,6316831493,15921924715,24240840855,58995696799,70873094682,86912582648,110799000000,129718000000,144336000000,157472000000,158747000000,184408000000,189658000000,209452000000,236641000000,271077000000,316857000000,368056000000,458966000000,522923000000,591321000000,613184000000,664080000000,714980000000,789053000000,806687000000,799059000000,833118000000,870804000000,914690000000,912424000000,981621000000,1078780000000
Haiti,Gourde,Final consumption expenditure,2111614737,2256779850,2332050649,2867010971,3514877491,4254144267,5512241908,6172205521,6303929420,7049916803,9187069847,10127954835,9661544705,10572859022,11664285608,12730173888,14075639420,12306775643,13539864919,14479798800,18483373687,20953815541,25360325070,35440305393,49080488243,56937689435,65582964948,81688000821,99337257466,113617000000,139194000000,159139000000,172887000000,209232000000,255148000000,295809000000,331375000000,373350000000,422969000000,484333000000,490439000000,539851000000,589593000000,654194000000,701901000000,752245000000,887302000000,1020520000000,1150920000000,1311340000000,1513810000000
Haiti,Gourde,Household consumption expenditure (including Non-profit institutions serving households),1894017954,2006552970,2095773554,2592940074,3229338116,3843510649,5011839233,5621899600,5662308792,6315786396,8180320129,8944592301,8482070046,9371338179,10296881786,11212340420,12587696968,11083281067,12197471235,13021850906,16952094532,18993092085,23015788401,33617829041,46918080687,51876766054,60534795223,73915027332,91656091350,104709000000,129858000000,148032000000,159722000000,193001000000,237427000000,277726000000,309709000000,346858000000,390455000000,451377000000,455645000000,505508000000,547188000000,607978000000,650100000000,692700000000,817572000000,942279000000,1062250000000,1220480000000,1407790000000
