Date,Open,High,Low,Close,Adj Close,Volume
2021-08-01,172.080002,0.000000,0.000000,185.979996,185.979996,3914
2021-09-01,188.500000,0.000000,0.000000,190.270004,190.270004,4261
2021-10-01,191.279999,0.000000,0.000000,189.729996,189.729996,5025
2021-11-01,189.410004,0.000000,0.000000,182.210007,182.210007,5315
2021-12-01,180.940002,0.000000,0.000000,176.850006,176.850006,5942
2022-01-01,176.850006,0.000000,0.000000,165.449997,165.449997,6586
2022-02-01,167.880005,0.000000,0.000000,177.580002,177.580002,6046
2022-03-01,179.830002,0.000000,0.000000,183.089996,183.089996,6795
2022-04-01,182.990005,0.000000,0.000000,173.399994,173.399994,6752
2022-05-01,173.399994,0.000000,0.000000,154.100006,154.100006,7100
2022-06-01,152.940002,0.000000,0.000000,137.289993,137.289993,7110
2022-07-01,137.080002,0.000000,0.000000,135.410004,135.410004,7459
2022-08-01,135.880005,0.000000,0.000000,161.800003,161.800003,7670
2022-09-01,137.139999,0.000000,0.000000,129.220001,129.220001,7539
2022-10-01,129.220001,0.000000,0.000000,128.199997,128.199997,7842
2022-11-01,127.080002,0.000000,0.000000,114.400002,114.400002,7576
2022-12-01,115.339996,0.000000,0.000000,111.250000,111.250000,7816
2023-01-01,111.250000,0.000000,0.000000,109.500000,109.500000,7887
2023-02-01,110.000000,0.000000,0.000000,106.550003,106.550003,7112
2023-03-01,106.559998,0.000000,0.000000,103.239998,103.239998,7905
2023-04-01,103.239998,0.000000,0.000000,102.220001,102.220001,7340
2023-05-01,103.779999,0.000000,0.000000,96.220001,96.220001,7161
2023-06-01,95.050003,0.000000,0.000000,92.330002,92.330002,6465
2023-07-01,92.279999,0.000000,0.000000,89.690002,89.690002,5825
2023-08-01,88.349998,0.000000,0.000000,86.230003,86.230003,5437
2023-09-01,86.209999,0.000000,0.000000,80.889999,80.889999,5190
2023-10-01,80.610001,0.000000,0.000000,78.699997,78.699997,5334
2023-11-01,78.589996,0.000000,0.000000,75.750000,75.750000,5160
2023-12-01,75.750000,0.000000,0.000000,75.099998,75.099998,5332
2024-01-01,75.099998,0.000000,0.000000,79.209999,79.209999,5332
